  Grid,   Temperature,   Uvec,   H2O+,    O-,   O2-
   5.043e-02,   1.751e+03,   5.488e+00,   3.047e-07,   1.598e-08,   5.051e-07
   5.047e-02,   1.768e+03,   5.538e+00,   3.064e-07,   1.530e-08,   5.098e-07
   5.055e-02,   1.795e+03,   5.619e+00,   3.092e-07,   1.401e-08,   5.178e-07
   5.063e-02,   1.818e+03,   5.686e+00,   3.115e-07,   1.283e-08,   5.246e-07
   5.070e-02,   1.837e+03,   5.742e+00,   3.135e-07,   1.176e-08,   5.304e-07
   5.078e-02,   1.853e+03,   5.789e+00,   3.151e-07,   1.080e-08,   5.354e-07
   5.086e-02,   1.867e+03,   5.829e+00,   3.165e-07,   9.942e-09,   5.398e-07
   5.094e-02,   1.879e+03,   5.863e+00,   3.177e-07,   9.172e-09,   5.437e-07
   5.109e-02,   1.897e+03,   5.916e+00,   3.197e-07,   7.888e-09,   5.501e-07
   5.125e-02,   1.912e+03,   5.958e+00,   3.214e-07,   6.836e-09,   5.552e-07
   5.141e-02,   1.923e+03,   5.991e+00,   3.228e-07,   5.969e-09,   5.596e-07
   5.156e-02,   1.933e+03,   6.019e+00,   3.239e-07,   5.251e-09,   5.632e-07
   5.172e-02,   1.940e+03,   6.041e+00,   3.250e-07,   4.651e-09,   5.664e-07
   5.188e-02,   1.947e+03,   6.059e+00,   3.259e-07,   4.147e-09,   5.691e-07
   5.219e-02,   1.956e+03,   6.087e+00,   3.274e-07,   3.387e-09,   5.734e-07
   5.250e-02,   1.964e+03,   6.107e+00,   3.288e-07,   2.821e-09,   5.770e-07
   5.281e-02,   1.969e+03,   6.123e+00,   3.299e-07,   2.390e-09,   5.799e-07
   5.313e-02,   1.974e+03,   6.135e+00,   3.310e-07,   2.060e-09,   5.825e-07
   5.375e-02,   1.979e+03,   6.152e+00,   3.328e-07,   1.622e-09,   5.866e-07
   5.438e-02,   1.983e+03,   6.163e+00,   3.344e-07,   1.333e-09,   5.901e-07
   5.500e-02,   1.986e+03,   6.171e+00,   3.359e-07,   1.135e-09,   5.932e-07
   5.562e-02,   1.988e+03,   6.177e+00,   3.374e-07,   9.980e-10,   5.961e-07
   5.625e-02,   1.990e+03,   6.181e+00,   3.388e-07,   9.006e-10,   5.988e-07
   5.750e-02,   1.991e+03,   6.186e+00,   3.415e-07,   7.899e-10,   6.038e-07
   5.875e-02,   1.993e+03,   6.189e+00,   3.441e-07,   7.274e-10,   6.086e-07
   6.000e-02,   1.993e+03,   6.191e+00,   3.468e-07,   6.922e-10,   6.134e-07
   6.250e-02,   1.994e+03,   6.192e+00,   3.520e-07,   6.672e-10,   6.227e-07
   6.500e-02,   1.994e+03,   6.193e+00,   3.572e-07,   6.616e-10,   6.320e-07
   6.750e-02,   1.994e+03,   6.193e+00,   3.624e-07,   6.645e-10,   6.412e-07
   7.000e-02,   1.994e+03,   6.193e+00,   3.676e-07,   6.710e-10,   6.504e-07
   7.500e-02,   1.994e+03,   6.193e+00,   3.780e-07,   6.883e-10,   6.688e-07
   8.000e-02,   1.994e+03,   6.193e+00,   3.884e-07,   7.068e-10,   6.873e-07
   8.500e-02,   1.994e+03,   6.193e+00,   3.987e-07,   7.256e-10,   7.057e-07
   9.000e-02,   1.994e+03,   6.193e+00,   4.090e-07,   7.442e-10,   7.239e-07
   1.000e-01,   1.994e+03,   6.193e+00,   4.090e-07,   7.442e-10,   7.239e-07
