 Adding reactor (none)
Initializing reactor network.
Reactor 0: 55 variables.
            10 sensitivity params.
Number of equations: 55
Maximum time step:            5e-06
 8.100e-04   1640.164 101325.000   8.636094e+05
 8.150e-04   1641.628 101325.000   8.631896e+05
 8.200e-04   1642.764 101325.000   8.628724e+05
 8.250e-04   1643.729 101325.000   8.626097e+05
 8.300e-04   1644.611 101325.000   8.623733e+05
 8.350e-04   1645.461 101325.000   8.621481e+05
 8.400e-04   1646.302 101325.000   8.619265e+05
 8.450e-04   1647.146 101325.000   8.617047e+05
 8.500e-04   1648.000 101325.000   8.614811e+05
 8.550e-04   1648.864 101325.000   8.612549e+05
 8.600e-04   1649.739 101325.000   8.610260e+05
 8.650e-04   1650.624 101325.000   8.607947e+05
 8.700e-04   1651.518 101325.000   8.605610e+05
 8.750e-04   1652.421 101325.000   8.603253e+05
 8.800e-04   1653.331 101325.000   8.600879e+05
 8.850e-04   1654.247 101325.000   8.598490e+05
 8.900e-04   1655.167 101325.000   8.596091e+05
 8.950e-04   1656.091 101325.000   8.593683e+05
 9.000e-04   1657.017 101325.000   8.591271e+05
 9.050e-04   1657.945 101325.000   8.588856e+05
 9.100e-04   1658.873 101325.000   8.586441e+05
 9.150e-04   1659.800 101325.000   8.584029e+05
 9.200e-04   1660.726 101325.000   8.581622e+05
 9.250e-04   1661.649 101325.000   8.579223e+05
 9.300e-04   1662.569 101325.000   8.576832e+05
 9.350e-04   1663.485 101325.000   8.574454e+05
 9.400e-04   1664.396 101325.000   8.572089e+05
 9.450e-04   1665.302 101325.000   8.569738e+05
 9.500e-04   1666.201 101325.000   8.567404e+05
 9.550e-04   1667.094 101325.000   8.565088e+05
 9.600e-04   1667.980 101325.000   8.562792e+05
 9.650e-04   1668.858 101325.000   8.560516e+05
 9.700e-04   1669.728 101325.000   8.558262e+05
 9.750e-04   1670.590 101325.000   8.556030e+05
 9.800e-04   1671.443 101325.000   8.553822e+05
 9.850e-04   1672.286 101325.000   8.551638e+05
 9.900e-04   1673.120 101325.000   8.549479e+05
 9.950e-04   1673.945 101325.000   8.547346e+05
 1.000e-03   1674.759 101325.000   8.545239e+05
 1.005e-03   1675.564 101325.000   8.543159e+05
 1.010e-03   1676.358 101325.000   8.541106e+05
 1.015e-03   1677.141 101325.000   8.539081e+05
 1.020e-03   1677.914 101325.001   8.537083e+05
 1.025e-03   1678.677 101324.999   8.535113e+05
 1.030e-03   1679.428 101325.002   8.533172e+05
 1.035e-03   1680.169 101324.997   8.531258e+05
 1.040e-03   1680.900 101325.004   8.529373e+05
 1.045e-03   1681.619 101324.993   8.527516e+05
 1.050e-03   1682.327 101324.998   8.525688e+05
 1.055e-03   1683.025 101325.000   8.523887e+05
 1.060e-03   1683.712 101325.000   8.522115e+05
 1.065e-03   1684.388 101325.000   8.520371e+05
 1.070e-03   1685.054 101325.000   8.518655e+05
 1.075e-03   1685.709 101325.000   8.516966e+05
 1.080e-03   1686.353 101325.000   8.515305e+05
 1.085e-03   1686.987 101325.000   8.513671e+05
 1.090e-03   1687.611 101325.000   8.512064e+05
 1.095e-03   1688.224 101325.000   8.510484e+05
 1.100e-03   1688.827 101325.000   8.508930e+05
 1.105e-03   1689.420 101325.000   8.507403e+05
 1.110e-03   1690.003 101325.000   8.505901e+05
 1.115e-03   1690.577 101325.000   8.504425e+05
 1.120e-03   1691.140 101325.000   8.502974e+05
 1.125e-03   1691.694 101325.000   8.501547e+05
 1.130e-03   1692.239 101325.000   8.500146e+05
 1.135e-03   1692.774 101325.000   8.498768e+05
 1.140e-03   1693.300 101325.000   8.497414e+05
 1.145e-03   1693.817 101325.000   8.496084e+05
 1.150e-03   1694.325 101325.000   8.494777e+05
 1.155e-03   1694.825 101325.000   8.493493e+05
 1.160e-03   1695.315 101325.000   8.492230e+05
 1.165e-03   1695.798 101325.000   8.490990e+05
 1.170e-03   1696.271 101325.000   8.489772e+05
 1.175e-03   1696.737 101325.000   8.488575e+05
 1.180e-03   1697.194 101325.000   8.487399e+05
 1.185e-03   1697.644 101325.000   8.486243e+05
 1.190e-03   1698.086 101325.000   8.485107e+05
 1.195e-03   1698.520 101325.000   8.483992e+05
 1.200e-03   1698.946 101325.000   8.482895e+05
 1.205e-03   1699.366 101325.000   8.481818e+05
 1.210e-03   1699.777 101325.000   8.480760e+05
 1.215e-03   1700.182 101325.000   8.479720e+05
 1.220e-03   1700.580 101325.000   8.478698e+05
 1.225e-03   1700.971 101325.000   8.477694e+05
 1.230e-03   1701.355 101325.000   8.476708e+05
 1.235e-03   1701.732 101325.000   8.475738e+05
 1.240e-03   1702.103 101325.000   8.474785e+05
 1.245e-03   1702.468 101325.000   8.473849e+05
 1.250e-03   1702.826 101325.000   8.472929e+05
 1.255e-03   1703.178 101325.000   8.472025e+05
 1.260e-03   1703.524 101325.000   8.471136e+05
 1.265e-03   1703.865 101325.000   8.470262e+05
 1.270e-03   1704.199 101325.000   8.469404e+05
 1.275e-03   1704.528 101325.000   8.468560e+05
 1.280e-03   1704.851 101325.000   8.467730e+05
 1.285e-03   1705.169 101325.000   8.466914e+05
 1.290e-03   1705.481 101325.000   8.466113e+05
 1.295e-03   1705.788 101325.000   8.465324e+05
 1.300e-03   1706.090 101325.000   8.464549e+05
 1.305e-03   1706.387 101325.000   8.463787e+05
 1.310e-03   1706.679 101325.000   8.463038e+05
 1.315e-03   1706.966 101325.000   8.462301e+05
 1.320e-03   1707.248 101325.000   8.461577e+05
 1.325e-03   1707.526 101325.000   8.460865e+05
 1.330e-03   1707.799 101325.000   8.460164e+05
 1.335e-03   1708.068 101325.000   8.459475e+05
 1.340e-03   1708.332 101325.000   8.458797e+05
 1.345e-03   1708.592 101325.000   8.458130e+05
 1.350e-03   1708.847 101325.000   8.457474e+05
 1.355e-03   1709.099 101325.000   8.456829e+05
 1.360e-03   1709.346 101325.000   8.456194e+05
 1.365e-03   1709.590 101325.000   8.455570e+05
 1.370e-03   1709.829 101325.000   8.454955e+05
 1.375e-03   1710.065 101325.000   8.454351e+05
 1.380e-03   1710.297 101325.000   8.453756e+05
 1.385e-03   1710.525 101325.000   8.453170e+05
 1.390e-03   1710.750 101325.000   8.452594e+05
 1.395e-03   1710.971 101325.000   8.452027e+05
 1.400e-03   1711.189 101325.000   8.451469e+05
 1.405e-03   1711.403 101325.000   8.450920e+05
 1.410e-03   1711.614 101325.000   8.450379e+05
 1.415e-03   1711.821 101325.000   8.449846e+05
 1.420e-03   1712.026 101325.000   8.449322e+05
 1.425e-03   1712.227 101325.000   8.448806e+05
 1.430e-03   1712.425 101325.000   8.448298e+05
 1.435e-03   1712.620 101325.000   8.447798e+05
 1.440e-03   1712.812 101325.000   8.447305e+05
 1.445e-03   1713.001 101325.000   8.446820e+05
 1.450e-03   1713.188 101325.000   8.446342e+05
 1.455e-03   1713.371 101325.000   8.445871e+05
 1.460e-03   1713.552 101325.000   8.445408e+05
 1.465e-03   1713.730 101325.000   8.444951e+05
 1.470e-03   1713.906 101325.000   8.444502e+05
 1.475e-03   1714.078 101325.000   8.444058e+05
 1.480e-03   1714.249 101325.000   8.443622e+05
 1.485e-03   1714.416 101325.000   8.443192e+05
 1.490e-03   1714.582 101325.000   8.442768e+05
 1.495e-03   1714.745 101325.000   8.442350e+05
 1.500e-03   1714.905 101325.000   8.441939e+05
 1.505e-03   1715.063 101325.000   8.441533e+05
 1.510e-03   1715.219 101325.000   8.441134e+05
 1.515e-03   1715.373 101325.000   8.440740e+05
 1.520e-03   1715.524 101325.000   8.440351e+05
 1.525e-03   1715.674 101325.000   8.439969e+05
 1.530e-03   1715.821 101325.000   8.439591e+05
 1.535e-03   1715.966 101325.000   8.439219e+05
 1.540e-03   1716.109 101325.000   8.438853e+05
 1.545e-03   1716.250 101325.000   8.438491e+05
 1.550e-03   1716.389 101325.000   8.438134e+05
 1.555e-03   1716.526 101325.000   8.437783e+05
 1.560e-03   1716.661 101325.000   8.437436e+05
 1.565e-03   1716.795 101325.000   8.437094e+05
 1.570e-03   1716.926 101325.000   8.436757e+05
 1.575e-03   1717.056 101325.000   8.436424e+05
 1.580e-03   1717.184 101325.000   8.436096e+05
 1.585e-03   1717.310 101325.000   8.435773e+05
 1.590e-03   1717.435 101325.000   8.435454e+05
 1.595e-03   1717.557 101325.000   8.435139e+05
 1.600e-03   1717.679 101325.000   8.434828e+05
 1.605e-03   1717.798 101325.000   8.434521e+05
 1.610e-03   1717.916 101325.000   8.434219e+05
 1.615e-03   1718.033 101325.000   8.433921e+05
 1.620e-03   1718.148 101325.000   8.433626e+05
 1.625e-03   1718.261 101325.000   8.433335e+05
 1.630e-03   1718.373 101325.000   8.433049e+05
 1.635e-03   1718.483 101325.000   8.432765e+05
 1.640e-03   1718.592 101325.000   8.432486e+05
 1.645e-03   1718.700 101325.000   8.432210e+05
 1.650e-03   1718.806 101325.000   8.431938e+05
 1.655e-03   1718.911 101325.000   8.431669e+05
 1.660e-03   1719.014 101325.000   8.431404e+05
 1.665e-03   1719.116 101325.000   8.431142e+05
 1.670e-03   1719.217 101325.000   8.430883e+05
 1.675e-03   1719.317 101325.000   8.430628e+05
 1.680e-03   1719.415 101325.000   8.430376e+05
 1.685e-03   1719.512 101325.000   8.430127e+05
 1.690e-03   1719.608 101325.000   8.429881e+05
 1.695e-03   1719.703 101325.000   8.429638e+05
 1.700e-03   1719.796 101325.000   8.429398e+05
 1.705e-03   1719.889 101325.000   8.429162e+05
 1.710e-03   1719.980 101325.000   8.428928e+05
 1.715e-03   1720.070 101325.000   8.428696e+05
 1.720e-03   1720.159 101325.000   8.428468e+05
 1.725e-03   1720.247 101325.000   8.428243e+05
 1.730e-03   1720.334 101325.000   8.428020e+05
 1.735e-03   1720.420 101325.000   8.427800e+05
 1.740e-03   1720.505 101325.000   8.427582e+05
 1.745e-03   1720.589 101325.000   8.427367e+05
 1.750e-03   1720.671 101325.000   8.427155e+05
 1.755e-03   1720.753 101325.000   8.426945e+05
 1.760e-03   1720.834 101325.000   8.426738e+05
 1.765e-03   1720.914 101325.000   8.426533e+05
 1.770e-03   1720.993 101325.000   8.426331e+05
 1.775e-03   1721.071 101325.000   8.426130e+05
 1.780e-03   1721.148 101325.000   8.425933e+05
 1.785e-03   1721.224 101325.000   8.425737e+05
 1.790e-03   1721.300 101325.000   8.425544e+05
 1.795e-03   1721.374 101325.000   8.425353e+05
 1.800e-03   1721.448 101325.000   8.425164e+05
 1.805e-03   1721.521 101325.000   8.424977e+05
 1.810e-03   1721.593 101325.000   8.424792e+05
 1.815e-03   1721.664 101325.000   8.424610e+05
 1.820e-03   1721.734 101325.000   8.424429e+05
 1.825e-03   1721.804 101325.000   8.424251e+05
 1.830e-03   1721.873 101325.000   8.424075e+05
 1.835e-03   1721.941 101325.000   8.423900e+05
 1.840e-03   1722.008 101325.000   8.423728e+05
 1.845e-03   1722.075 101325.000   8.423557e+05
 1.850e-03   1722.140 101325.000   8.423388e+05
 1.855e-03   1722.205 101325.000   8.423221e+05
 1.860e-03   1722.270 101325.000   8.423056e+05
 1.865e-03   1722.334 101325.000   8.422893e+05
 1.870e-03   1722.397 101325.000   8.422731e+05
 1.875e-03   1722.459 101325.000   8.422571e+05
 1.880e-03   1722.520 101325.000   8.422413e+05
 1.885e-03   1722.581 101325.000   8.422257e+05
 1.890e-03   1722.642 101325.000   8.422102e+05
 1.895e-03   1722.701 101325.000   8.421949e+05
 1.900e-03   1722.761 101325.000   8.421798e+05
 1.905e-03   1722.819 101325.000   8.421648e+05
 1.910e-03   1722.877 101325.000   8.421499e+05
 1.915e-03   1722.934 101325.000   8.421353e+05
 1.920e-03   1722.991 101325.000   8.421208e+05
 1.925e-03   1723.047 101325.000   8.421064e+05
 1.930e-03   1723.102 101325.000   8.420922e+05
 1.935e-03   1723.157 101325.000   8.420781e+05
 1.940e-03   1723.211 101325.000   8.420642e+05
 1.945e-03   1723.265 101325.000   8.420504e+05
 1.950e-03   1723.318 101325.000   8.420367e+05
 1.955e-03   1723.371 101325.000   8.420232e+05
 1.960e-03   1723.423 101325.000   8.420098e+05
 1.965e-03   1723.475 101325.000   8.419966e+05
 1.970e-03   1723.526 101325.000   8.419835e+05
 1.975e-03   1723.576 101325.000   8.419705e+05
 1.980e-03   1723.626 101325.000   8.419577e+05
 1.985e-03   1723.676 101325.000   8.419450e+05
 1.990e-03   1723.725 101325.000   8.419324e+05
 1.995e-03   1723.773 101325.000   8.419199e+05
 2.000e-03   1723.822 101325.000   8.419076e+05
To view a plot of these results, run this script with the option -plot
