z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.023762063332, 2.38776160129, 1.35928471922e-213, 308.876164286, 0.83234450668224469, 0.288918606664, 2.87800236271e-08, 3.5791025535e-07, 0.149357968576, 1.65160839887e-06, 0.000133277741769, 1.52862554581e-05, 2.68073016577e-06, 2.33923659617e-13, 1.68842251066e-14, 2.26263240884e-15, 1.71766772075e-15, 3.73861111886e-18, 2.60402740611e-11, 8.16361226501e-12, 4.20823513325e-14, 1.77711751753e-13, 0.561570141699, 
0.0237695724405, 2.40641970136, 1.35928455579e-213, 311.760538385, 0.82589273930541518, 0.287699587944, 6.33957957844e-08, 5.01030355586e-07, 0.149584268591, 2.67607635868e-06, 0.00020103006062, 2.35393579701e-05, 4.13814482408e-06, 3.30542345403e-13, 2.53021730012e-14, 3.58120338469e-15, 3.68008234942e-15, 9.24437619832e-18, 4.12656949e-11, 1.33144930266e-11, 7.36639351379e-14, 2.77360534745e-13, 0.562484195344, 
0.0237770815489, 2.43247187, 1.35928438066e-213, 315.699460331, 0.81704919227073136, 0.28624453527, 1.55065014078e-07, 7.14405066615e-07, 0.149839816533, 4.40718940003e-06, 0.000306540899586, 3.67134904186e-05, 6.43459043512e-06, 4.71907356367e-13, 3.81053533044e-14, 5.41750055278e-15, 6.78770824302e-15, 2.63663929099e-17, 6.64761782919e-11, 2.1876110916e-11, 1.31316220029e-13, 4.40044141717e-13, 0.563560682468, 
0.0237808361032, 2.44926923341, 1.35928432433e-213, 318.202429668, 0.81144672330798062, 0.285410404644, 2.63514794383e-07, 8.63560552108e-07, 0.149977738173, 5.7508357173e-06, 0.000381200607605, 4.61861572192e-05, 8.05697294027e-06, 5.67454395993e-13, 4.70314138566e-14, 6.60768925788e-15, 9.01925017904e-15, 4.92944911121e-17, 8.53709949077e-11, 2.81675646718e-11, 1.77938234644e-13, 5.59992709267e-13, 0.564169535418, 
0.0237845906574, 2.46925188504, 1.35928426891e-213, 321.152109743, 0.80488091933859596, 0.284498368027, 4.49105490322e-07, 1.05208704582e-06, 0.150120415893, 7.56585142711e-06, 0.000476019422445, 5.83265080817e-05, 1.01112771052e-05, 6.8499110946e-13, 5.81998807445e-14, 8.0272262207e-15, 1.18848479713e-14, 9.38134765123e-17, 1.10448046574e-10, 3.63651547332e-11, 2.43410144703e-13, 7.17149028772e-13, 0.56482769168, 
0.0237883452116, 2.49295292373, 1.35928427531e-213, 324.62129673, 0.79722957347159407, 0.283502896266, 7.70121461786e-07, 1.29211781113e-06, 0.150265899798, 1.00333278375e-05, 0.000595969032042, 7.37418410224e-05, 1.26873866047e-05, 8.29494073458e-13, 7.21601626128e-14, 9.71730113323e-15, 1.55523849466e-14, 1.8263689739e-16, 1.43711482846e-10, 4.69132101358e-11, 3.35031508132e-13, 9.22476924103e-13, 0.565536709917, 
0.0237920997658, 2.52096997575, 1.35928428207e-213, 328.691585537, 0.78837020003318847, 0.282418526944, 1.32471642273e-06, 1.60023132037e-06, 0.150411585422, 1.34108885368e-05, 0.00074701695931, 9.30845987119e-05, 1.58799156651e-05, 1.00708829829e-12, 8.96004344371e-14, 1.17255117021e-14, 2.02284546859e-14, 3.63217749951e-16, 1.87807190839e-10, 6.02743995398e-11, 4.62732342791e-13, 1.18985480965e-12, 0.566297570074, 
0.0237958543201, 2.55396236695, 1.35928426754e-213, 333.453039335, 0.77818649996853384, 0.28123998878, 2.27543280898e-06, 1.99919111061e-06, 0.150554156053, 1.80645234802e-05, 0.000936217202474, 0.00011698987527, 1.97805803984e-05, 1.22536112529e-12, 1.11389285339e-13, 1.41066131934e-14, 2.61648028184e-14, 7.35447483227e-16, 2.46218711943e-10, 7.68718329592e-11, 6.39909159849e-13, 1.53666732016e-12, 0.567110528035, 
0.0237977315972, 2.5725956154, 1.35928425873e-213, 336.130842566, 0.77255030828886084, 0.280610712705, 3.00191974444e-06, 2.24567827683e-06, 0.150623034831, 2.10784509467e-05, 0.0010487721366, 0.000130914549392, 2.20365934277e-05, 1.35393597203e-12, 1.24393724027e-13, 1.54670184708e-14, 2.9737711243e-14, 1.06214484121e-15, 2.826886128e-10, 8.65416066956e-11, 7.54369158474e-13, 1.74898487969e-12, 0.567538202762, 
0.0237996088743, 2.5928147398, 1.35928424973e-213, 339.028030373, 0.76652600657319214, 0.279955110937, 3.94540053847e-06, 2.52967427819e-06, 0.150689113326, 2.46535181151e-05, 0.00117504400495, 0.000146259551403, 2.45145988085e-05, 1.49738517932e-12, 1.3901738092e-13, 1.69519503465e-14, 3.3780065072e-14, 1.53673478599e-15, 3.25040724921e-10, 9.72006276286e-11, 8.90570301723e-13, 1.9920960451e-12, 0.567978828562, 
