z (m), u (m/s), V (1/s), T (K), H2, H, O, O2, OH, H2O, HO2, H2O2, AR, 
0.015, 3.4702984711, 1.91769931735, 1203.09584859, 0.0214591277395, 0.044275293152, 0.0071476921674, 0.0313475780013, 0.00295411511909, 0.142838438268, 1.46145515274e-06, 1.8000859633e-07, 0.749976114089, 
0.0175, 3.58683243013, 2.22985505537, 1249.1863964, 0.0200071697558, 0.0423179315809, 0.00739575703948, 0.0292793565831, 0.00340041795261, 0.14632345464, 1.28123902767e-06, 1.89389307187e-07, 0.751274441819, 
0.02, 3.67770608572, 2.54153992109, 1286.90962833, 0.0197836554462, 0.040195854789, 0.00747927278341, 0.0282463510492, 0.00378053106659, 0.148124215583, 1.16947471737e-06, 1.92639041937e-07, 0.752388757169, 
0.025, 3.80628767295, 3.16457178857, 1345.33808146, 0.0200700463559, 0.0365122225682, 0.00744708992768, 0.0271378581547, 0.00437796656219, 0.15022613707, 1.03119927063e-06, 1.86312052026e-07, 0.75422746185, 
0.03, 3.89652590348, 3.78745590755, 1392.5354341, 0.0202890220546, 0.0335337031388, 0.0073299610461, 0.0263175985249, 0.00486190493095, 0.151897568408, 9.35603174068e-07, 1.71432565066e-07, 0.755769134861, 
0.035, 3.95868526896, 4.41042765243, 1432.08821609, 0.0203844854597, 0.031079245033, 0.00717889183522, 0.0256372603536, 0.00526227390983, 0.153357862861, 8.63604813121e-07, 1.54277738236e-07, 0.757098962665, 
0.04, 3.99851846302, 5.03358392885, 1466.01471063, 0.0203897715663, 0.0290083759488, 0.0070134805188, 0.0250518378443, 0.00559754355772, 0.154668785303, 8.06744277284e-07, 1.37832367288e-07, 0.758269260685, 
0.05, 4.02071616001, 6.28184700171, 1520.17305141, 0.0202284073039, 0.0257507572031, 0.00668205862708, 0.0241151096632, 0.00610652733869, 0.156894011425, 7.24024918854e-07, 1.11308630004e-07, 0.760222293106, 
0.06, 3.99039238766, 7.53274294291, 1564.97805414, 0.019949967245, 0.0231441538104, 0.00635613143142, 0.0233350251488, 0.00649599508716, 0.158842424346, 6.61793283088e-07, 9.11560986679e-08, 0.761875549982, 
0.07, 3.91559041154, 8.78698894158, 1603.34085988, 0.0196024907255, 0.0209789355492, 0.00604328020782, 0.0226626322995, 0.00679968935791, 0.160593407728, 6.12277416124e-07, 7.59935134322e-08, 0.763318875861, 
0.08, 3.80120962448, 10.0453202106, 1637.0784663, 0.0192096365409, 0.0191262751549, 0.00574446923141, 0.0220676759682, 0.00703911687916, 0.162200462543, 5.71250734246e-07, 6.44081893922e-08, 0.764611728024, 
0.09, 3.65040310297, 11.3085575944, 1667.40694247, 0.0187820609946, 0.0175007973122, 0.00545803410871, 0.0215300624914, 0.00722833248772, 0.163702894819, 5.3619300881e-07, 5.53566125101e-08, 0.765797226237, 
0.1, 3.46524928662, 12.5777198638, 1695.18005248, 0.018322340537, 0.0160418076056, 0.00518108434243, 0.0210358260082, 0.00737637110184, 0.165132082601, 5.05499301592e-07, 4.8119785509e-08, 0.766909934185, 
0.1125, 3.18735248495, 14.1750288065, 1727.12355612, 0.0176994380508, 0.0143893772651, 0.00484417337446, 0.0204666645269, 0.00751116101067, 0.166849336794, 4.71787496981e-07, 4.09162665244e-08, 0.768239336274, 
0.125, 2.85987720147, 15.7859889355, 1757.11762849, 0.0170048158636, 0.012850662296, 0.00450728215915, 0.0199309933694, 0.00759551009131, 0.168552604651, 4.41585397583e-07, 3.51112781828e-08, 0.769557654873, 
0.1375, 2.48313106009, 17.4124342595, 1785.49799656, 0.016209323135, 0.011370111863, 0.00415951992974, 0.0194142635309, 0.0076225405102, 0.170307433679, 4.14040026161e-07, 3.03376040918e-08, 0.770916362974, 
0.14375, 2.27558093042, 18.2286458642, 1798.60667226, 0.0157559322106, 0.0106335933119, 0.00397489280165, 0.0191550512907, 0.00760290502003, 0.171247508815, 4.01253796428e-07, 2.83062406555e-08, 0.77162968699, 
0.15, 2.05390612419, 19.0425247406, 1809.74530879, 0.0152527171029, 0.00989604678516, 0.00377770894119, 0.0188874281088, 0.0075430753339, 0.172273369203, 3.89507361711e-07, 2.65863689286e-08, 0.772369238431, 
0.15625, 1.8163406456, 19.8397658897, 1816.69909903, 0.0146859258818, 0.00915689887297, 0.00356071712503, 0.0185969355564, 0.00741458735295, 0.173451350378, 3.79419030165e-07, 2.5318930479e-08, 0.773133180095, 
0.1625, 1.56048066692, 20.5849221906, 1815.20705213, 0.0140363571678, 0.00841998369772, 0.0033131362842, 0.0182574899865, 0.00716794288146, 0.174890443411, 3.7223836722e-07, 2.47951727488e-08, 0.773914249538, 
0.16875, 1.28407888013, 21.1988772866, 1797.88745942, 0.0132767881102, 0.00769480505567, 0.00302014457173, 0.0178245732872, 0.00672647743044, 0.176756240387, 3.70655758071e-07, 2.56306911221e-08, 0.774700574872, 
0.171875, 1.13754414119, 21.3965110012, 1779.08733381, 0.0128434351023, 0.00734605966042, 0.00285025257414, 0.0175495975167, 0.00639422231796, 0.177927590911, 3.74076209932e-07, 2.70429977605e-08, 0.775088440798, 
0.175, 0.985600238461, 21.462092685, 1750.16861216, 0.0123617779119, 0.00701041452726, 0.00265880032012, 0.0172118934411, 0.00595955417474, 0.179325343453, 3.82463500406e-07, 2.96992551498e-08, 0.775471804009, 
0.178125, 0.829394415968, 21.3319480961, 1708.32754933, 0.0118204841499, 0.00669285904366, 0.00244217324961, 0.0167885781571, 0.00540601475695, 0.180998745158, 3.98234174374e-07, 3.44942612031e-08, 0.775850712756, 
0.18125, 0.671067559646, 20.9195560101, 1650.37317971, 0.0112038383528, 0.00640000090483, 0.00219665805798, 0.0162481744706, 0.0047224520475, 0.183001639038, 4.24485697822e-07, 4.32827942127e-08, 0.77622676936, 
0.1828125, 0.592070786741, 20.5660302575, 1614.16342036, 0.0108622907582, 0.00626877294385, 0.0020628984592, 0.0159239301074, 0.00433198198846, 0.184136571669, 4.42781105169e-07, 5.03579131682e-08, 0.776413060935, 
0.184375, 0.513883719871, 20.0863088696, 1572.29096536, 0.0104923692028, 0.00614834248819, 0.0019200881909, 0.0155520274671, 0.00390824537166, 0.185378228077, 4.65248587884e-07, 6.04150228158e-08, 0.776600173538, 
