z (m), u (m/s), V (1/s), T (K), rho (kg/m3, H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, AR, N2, 
0.09875, 0.000148855217319, 0.118808655382, 860.294316763, 0.39811474961272569, 1.73121740091e-09, 1.06727060426e-11, 4.19623360858e-12, 0.0655458366834, 6.2890522329e-11, 0.110984914754, 1.98049146137e-08, 7.90779519636e-09, 1.5473272192e-34, 2.38398591808e-25, 7.79750879221e-16, 2.55341441754e-17, 2.51468370116e-07, 0.0277673780405, 6.00714567269e-09, 0.0726684829768, 2.67672999889e-14, 3.10168761867e-06, 5.34051797192e-17, 9.13615876435e-12, 2.37536728295e-08, 3.52653310908e-24, 1.06329161574e-11, 1.15489687293e-16, 7.14462144466e-08, 1.14782814475e-12, 7.25218136041e-06, 1.14819523458e-21, 1.11570102898e-16, 1.96456727823e-17, 0.00915306600284, 0.713869585455, 
0.0990625, 8.47823328847e-05, 0.0902812652607, 870.36458342, 0.39364821835240738, 1.53358373607e-09, 1.46554844398e-11, 5.97223720168e-12, 0.0630398486031, 8.93673993993e-11, 0.112930118934, 2.03546655498e-08, 7.9152115871e-09, 2.06806629858e-33, 6.17215833124e-25, 1.41959701494e-15, 4.51311290767e-17, 3.14498178283e-07, 0.0266360810496, 5.22965542812e-09, 0.0742851536538, 3.77509683801e-14, 3.14053751097e-06, 7.57205061478e-17, 1.05515263227e-11, 2.40899645121e-08, 5.88200834357e-24, 1.08296856046e-11, 1.70177766239e-16, 7.26815259831e-08, 1.73362248231e-12, 7.3725057368e-06, 1.78670136179e-21, 1.13849999116e-16, 2.00650506384e-17, 0.00915407675092, 0.713943761529, 
0.099375, 3.81459266952e-05, 0.0609647039035, 880.337722049, 0.38932642741740325, 1.25225799143e-09, 2.04114668052e-11, 8.61642095647e-12, 0.0605532979513, 1.29116091213e-10, 0.114858630126, 2.08781312095e-08, 7.91191306244e-09, 2.95875665911e-29, 1.67938725488e-24, 2.67506945642e-15, 8.2515427951e-17, 4.00031720282e-07, 0.0255127379917, 4.17653770577e-09, 0.0758907816818, 5.39268519014e-14, 3.1716851057e-06, 1.10428472374e-16, 1.2410745927e-11, 2.4385864197e-08, 9.92548119622e-24, 1.10127758504e-11, 2.54452807604e-16, 7.37820699075e-08, 2.68794774874e-12, 7.47476203362e-06, 2.83076069478e-21, 1.15987514148e-16, 2.04645034789e-17, 0.00915509306958, 0.714018280129, 
0.09953125, 2.15860880949e-05, 0.0460134104333, 885.288403923, 0.38721778063846829, 1.06635132357e-09, 2.4300982179e-11, 1.06058636565e-11, 0.0593137014359, 1.56999167881e-10, 0.115819473693, 2.11189175773e-08, 7.90827654319e-09, 2.06014593316e-25, 2.85684745957e-24, 3.75603500988e-15, 1.14086792391e-16, 4.56056364998e-07, 0.0249524234173, 3.50845530129e-09, 0.076691748788, 6.50469528724e-14, 3.18352882939e-06, 1.35706674753e-16, 1.3608717842e-11, 2.45146835289e-08, 1.35444987566e-23, 1.10975490268e-11, 3.142664147e-16, 7.42605155026e-08, 3.4101784342e-12, 7.51576287276e-06, 4.01322248392e-21, 1.1698507967e-16, 2.06538623543e-17, 0.00915560420073, 0.714055760519, 
0.0996875, 9.65111383055e-06, 0.0308681163737, 890.21551776, 0.385142680337763, 8.44582477355e-10, 2.88262378789e-11, 1.4603673354e-11, 0.0580789109497, 1.94879346704e-10, 0.11677621945, 2.13394830786e-08, 7.904264633e-09, 7.95922992069e-22, 4.99289723568e-24, 5.41639875598e-15, 1.61940433637e-16, 5.23190884904e-07, 0.0243940763866, 2.73108769127e-09, 0.0774899715241, 7.90764123635e-14, 3.19247714023e-06, 1.69528447149e-16, 1.50072388745e-11, 2.4628447194e-08, 1.71208839569e-23, 1.11767644593e-11, 3.91573361256e-16, 7.46789887104e-08, 4.47346315912e-12, 7.54816306112e-06, 4.91002322617e-21, 1.17920156436e-16, 2.08334009038e-17, 0.0091561166716, 0.714093308791, 
0.09984375, 2.42715326699e-06, 0.0155299619096, 895.119305904, 0.38310030454369359, 5.79875832097e-10, 3.24230890485e-11, 3.58097575935e-11, 0.0568488557742, 3.36992510515e-10, 0.117728934094, 2.15362183836e-08, 7.90103134383e-09, 3.28995034451e-18, 1.17755464737e-23, 1.08171355622e-14, 3.16971293024e-16, 6.04494236252e-07, 0.0238376670022, 1.82428556793e-09, 0.0782854880697, 1.03500538889e-13, 3.19806685266e-06, 2.44145639421e-16, 1.66657471316e-11, 2.47244759857e-08, 3.23235751733e-23, 1.12493334055e-11, 5.3584734802e-16, 7.50212292118e-08, 7.63956262866e-12, 7.56957506786e-06, 1.35401561e-20, 1.187835255e-16, 2.1001201237e-17, 0.00915663037847, 0.714130920518, 
0.099921875, 6.08574014368e-07, 0.00778889607899, 897.562545772, 0.38209116972785945, 4.28950679793e-10, 2.85701167426e-11, 1.12559654637e-10, 0.0562347390369, 1.67860299189e-09, 0.118204469633, 2.16297364948e-08, 7.90023130596e-09, 4.94154789946e-15, 7.65302813049e-23, 5.65995715393e-14, 1.63678518281e-15, 6.5033999427e-07, 0.0235598026511, 1.30733914729e-09, 0.0786827676102, 2.06657322671e-13, 3.19939366809e-06, 7.19512199817e-16, 1.75630671446e-11, 2.47636339118e-08, 1.68313777797e-22, 1.12824036271e-11, 1.23247022404e-15, 7.51451837316e-08, 1.88265728248e-11, 7.57493895621e-06, 4.37907628584e-20, 1.19173610707e-16, 2.1077880507e-17, 0.00915688751816, 0.714149775835, 
0.0999609375, 1.52360141586e-07, 0.00390041962461, 898.782007949, 0.38158958076660404, 3.49233688445e-10, 2.04844366987e-11, 2.26133411484e-10, 0.0559279094291, 6.9028162053e-09, 0.118442014586, 2.16655930871e-08, 7.90011476042e-09, 1.83148440943e-12, 5.62150066838e-22, 2.24617195805e-13, 6.83651936475e-15, 6.68834824094e-07, 0.0234209608161, 1.01287796486e-09, 0.078881301018, 5.66052650682e-13, 3.19967343871e-06, 2.51078637583e-15, 1.78566699181e-11, 2.47773483986e-08, 7.12291031685e-22, 1.12970712106e-11, 3.45753946885e-15, 7.51785029264e-08, 3.18220463211e-11, 7.5761071765e-06, 8.37281257458e-20, 1.19315752453e-16, 2.11062409386e-17, 0.00915701646412, 0.714159214975, 
0.1, 0.0, 0.0, 900.0, 0.38108997781961995, 2.67269684013e-10, 2.7437385547e-12, 3.10216063538e-11, 0.055621374715, 2.63825926692e-08, 0.118679267939, 2.1665889813e-08, 7.90022375877e-09, 4.50475033969e-10, -3.08373172133e-21, 2.24619908197e-13, 6.83660166023e-15, 6.68843089654e-07, 0.0232822567464, 2.42931690006e-14, 0.079079696067, 5.66061919632e-13, 3.19972640513e-06, 2.5108287717e-15, 1.78569727144e-11, 2.47777683392e-08, 7.12268979318e-22, 1.12972356636e-11, 3.45759728869e-15, 7.51797757792e-08, 3.18226348811e-11, 7.57624851994e-06, 8.37297683645e-20, 1.19315501796e-16, 2.11068293465e-17, 0.00915714613983, 0.714168656855, 
PT(S), 0.125391596805, 
H(S), 2.6811761763e-07, 
H2O(S), 3.13445222965e-05, 
OH(S), 0.00758220560432, 
CO(S), 3.84709869466e-05, 
CO2(S), 4.16444467006e-10, 
CH3(S), 3.10235406008e-09, 
CH2(S)s, 3.10235406008e-09, 
CH(S), 3.10235406008e-09, 
C(S), 1.36759303088e-07, 
O(S), 0.866955967481, 
