z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.023795854320058915, 2.5543152153216431, 5.1921102146661951e-210, 333.44363657517175, 0.77820536619963721, 0.28124331050967227, 2.2753239605213536e-06, 1.9991165715730217e-06, 0.15055364189489215, 1.8065695611970739e-05, 0.00093578658311537866, 0.0001169753200031704, 1.9775384141191746e-05, 1.2244356485998935e-12, 1.1133575152396345e-13, 1.2438069751168479e-14, 2.814257626160047e-14, 7.3517601844774249e-16, 2.458277568475888e-10, 7.6738156083232471e-11, 6.393477319353052e-13, 1.5315473130732361e-12, 0.56710816984591783, 
0.023797731597170715, 2.5729495408801846, 5.192110214350367e-210, 336.12116513476866, 0.77256948725463193, 0.28061405876377715, 3.0018384790292482e-06, 2.2456161109899231e-06, 0.15062252915339319, 2.1079985411114573e-05, 0.0010483106548896078, 0.00013090052124701542, 2.2031301234809808e-05, 1.3530028139093647e-12, 1.2433631880735592e-13, 1.3818497271925992e-14, 3.1713000091255676e-14, 1.0617709044091553e-15, 2.8224376431056587e-10, 8.6392915877369235e-11, 7.5371801674778278e-13, 1.7436239253114077e-12, 0.56753584179279915, 
0.023799608874282514, 2.5931701429134923, 5.1921102140278416e-210, 339.0180976407666, 0.7665454213672378, 0.27995847656533418, 3.9453754483347451e-06, 2.5296294046629717e-06, 0.15068861730604594, 2.4655524068765476e-05, 0.0011745506766919532, 0.00014624639202922391, 2.4509266128012662e-05, 1.4964452771695177e-12, 1.3895592038601839e-13, 1.5324808145473799e-14, 3.5752556108719712e-14, 1.5362218853384253e-15, 3.2453427453722335e-10, 9.7035717390565163e-11, 8.8981664469221306e-13, 1.986463840319598e-12, 0.56797646883871478, 
0.023801486151394314, 2.6150805529434025, 5.1921102133349507e-210, 342.14860785433763, 0.76012299237640424, 0.27927595915550757, 5.1670382605708139e-06, 2.8574188083653249e-06, 0.15075118009551008, 2.8897355616307873e-05, 0.0013159025678769216, 0.00016304129372439444, 2.7217026995034945e-05, 1.6565534928257097e-12, 1.5540538692543648e-13, 1.6967402405060088e-14, 4.0316119423504814e-14, 2.2275359779163827e-15, 3.736159336157306e-10, 1.0867312294421136e-10, 1.0515053808298657e-12, 2.2640743291520966e-12, 0.56842977756022461, 
0.023803363428506114, 2.6387857022258796, 5.1921102126344466e-210, 345.52703441647026, 0.75329453571120841, 0.27856596501675635, 6.7425374199512491e-06, 3.2362903337258982e-06, 0.15080943918748224, 3.3928234513861446e-05, 0.0014738451445363331, 0.00018128328085324853, 3.0159459757113342e-05, 1.8353703611356644e-12, 1.7392848534716558e-13, 1.8757423896225563e-14, 4.5463642771279212e-14, 3.2370114698974487e-15, 4.3053645274477542e-10, 1.2128336454023988e-10, 1.2432628439432603e-12, 2.5808597796793808e-12, 0.56889540029062646, 
0.023805240705617913, 2.664390059579163, 5.1921102117141257e-210, 349.16772234481857, 0.74605538821031747, 0.27782798134326681, 8.7649721939580935e-06, 3.6747255965199569e-06, 0.15086257663231167, 3.9890271352859839e-05, 0.001649932578067136, 0.00020093319752107007, 3.3338009864608491e-05, 2.0352387002786538e-12, 1.948088313593172e-13, 2.0706812486313926e-14, 5.1260410462889117e-14, 4.7133872524383197e-15, 4.9648846837628004e-10, 1.3481007781240596e-10, 1.4702666211780171e-12, 2.9416244926943464e-12, 0.56937290763180803, 
0.023807117982729713, 2.6919968724604884, 5.192110210794849e-210, 353.08483688448479, 0.73840429399137486, 0.27706156718749197, 1.1347875367172316e-05, 4.1825114998872014e-06, 0.15090973658062665, 4.6946141470827885e-05, 0.0018457839349811352, 0.00022190821839953082, 3.6750204733403e-05, 2.2588600213613483e-12, 2.1837862155646075e-13, 2.2828369693498271e-14, 5.7777246635669202e-14, 6.8748393143998863e-15, 5.7282309897729793e-10, 1.4915642535719569e-10, 1.7384827168347728e-12, 3.3515626967394914e-12, 0.56986177661579496, 
0.023808995259841512, 2.7217059465613547, 5.1921102058171745e-210, 357.29215035930127, 0.73034385082281927, 0.27626632160323134, 1.4628468382680818e-05, 4.7708589679576684e-06, 0.150950039805446, 5.5279575200922893e-05, 0.0020630696239951479, 0.00024407645722674591, 4.0389284167589669e-05, 2.5093669739704866e-12, 2.4502961630859147e-13, 2.5135831797559861e-14, 6.5090725689941376e-14, 1.0040835711181572e-14, 6.6106262775046125e-10, 1.6418027306226596e-10, 2.0547628283180242e-12, 3.8162323110089612e-12, 0.5703614234894131, 
0.023810872536953312, 2.7536124535012281, 5.1921102009154019e-210, 361.80280428837943, 0.72188083916603307, 0.27544192167568926, 1.8771055078177811e-05, 5.4525014842128846e-06, 0.15098258811850604, 6.5094815806294396e-05, 0.0023034947588317142, 0.00026725331770346598, 4.4243987196880506e-05, 2.7904128003821773e-12, 2.7522698760916255e-13, 2.7643961351803807e-14, 7.3283336992205489e-14, 1.4677982176747174e-14, 7.6291159218050233e-10, 1.7969113967373403e-10, 2.4269491594899154e-12, 4.3415083041204592e-12, 0.57087117881715155, 
0.023812749814065112, 2.7878044412059824, 5.1921101947709411e-210, 366.62905093111897, 0.71302653634355984, 0.27458809360276432, 2.3970440982976453e-05, 6.2417610935321835e-06, 0.15100647959894672, 7.6614686727774142e-05, 0.0025687795841821699, 0.00029120030646860167, 4.8298528732479346e-05, 3.1062810957507257e-12, 3.0952667435227658e-13, 3.0368651961260717e-14, 8.2443650724089113e-14, 2.1465499612066345e-14, 8.8026561963804089e-10, 1.9544974737964586e-10, 2.8639873028123703e-12, 4.933512139486007e-12, 0.57139032040303861, 
