TITLE     = "kinetics example 1: constant-pressure ignition"
VARIABLES = 
"time (s)"
"Temperature (K)"
"Density (kg/m3)"
"Pressure (Pa)"
"H2"
"H"
"O"
"O2"
"OH"
"H2O"
"HO2"
"H2O2"
"C"
"CH"
"CH2"
"CH2(S)"
"CH3"
"CH4"
"CO"
"CO2"
"HCO"
"CH2O"
"CH2OH"
"CH3O"
"CH3OH"
"C2H"
"C2H2"
"C2H3"
"C2H4"
"C2H5"
"C2H6"
"HCCO"
"CH2CO"
"HCCOH"
"N"
"NH"
"NH2"
"NH3"
"NNH"
"NO"
"NO2"
"N2O"
"HNO"
"CN"
"HCN"
"H2CN"
"HCNN"
"HCNO"
"HOCN"
"HNCO"
"NCO"
"N2"
"AR"
"C3H7"
"C3H8"
"CH2CHO"
"CH3CHO"
ZONE T="zone1"
 I=101,J=1,K=1,F=POINT
DT=(  SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
0.0001 1001 0.257549 101325 0.285714 4.38113e-08 4.82211e-09 0.142857 1.58259e-09 1.55507e-07 1.12932e-07 5.29791e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85297e-22 3.09236e-19 2.66358e-20 6.16506e-20 1.45351e-14 9.12121e-19 2.48023e-23 1.08464e-14 3.16373e-20 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00011 1001 0.257548 101325 0.285714 6.80687e-08 7.4939e-09 0.142857 2.46065e-09 2.45961e-07 1.76889e-07 8.53055e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.01714e-22 7.48727e-19 6.46213e-20 1.51505e-19 2.2583e-14 2.22002e-18 9.57345e-23 1.71649e-14 7.675e-20 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00012 1001 0.257548 101325 0.285714 1.05617e-07 1.16294e-08 0.142857 3.82177e-09 3.86513e-07 2.75921e-07 1.36104e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.19284e-22 1.80569e-18 1.56034e-19 3.68865e-19 3.50404e-14 5.37202e-18 3.64331e-22 2.6978e-14 1.853e-19 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00013 1001 0.257548 101325 0.285714 1.63778e-07 1.80346e-08 0.142856 5.93473e-09 6.04783e-07 4.29147e-07 2.15899e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.95338e-22 4.34525e-18 3.75723e-19 8.92804e-19 5.43365e-14 1.2954e-17 1.37346e-21 4.2202e-14 4.46125e-19 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00014 1001.01 0.257548 101325 0.285713 2.53958e-07 2.79648e-08 0.142856 9.22209e-09 9.43844e-07 6.66073e-07 3.41516e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.25121e-21 1.04474e-17 9.03542e-19 2.15334e-18 8.42559e-14 3.118e-17 5.14529e-21 6.58103e-14 1.07258e-18 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00015 1001.01 0.257547 101325 0.285712 3.94005e-07 4.33835e-08 0.142855 1.4354e-08 1.47118e-06 1.0322e-06 5.40289e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.133e-21 2.51261e-17 2.17259e-18 5.1842e-18 1.30721e-13 7.50137e-17 1.91996e-20 1.02426e-13 2.57808e-18 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00016 1001.01 0.257546 101325 0.285711 6.12021e-07 6.73795e-08 0.142855 2.24069e-08 2.29325e-06 1.5976e-06 8.57625e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.94089e-20 6.05166e-17 5.22941e-18 1.24756e-17 2.03055e-13 1.80608e-16 7.14775e-20 1.59258e-13 6.20183e-18 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00017 1001.02 0.257544 101325 0.28571 9.52677e-07 1.04858e-07 0.142853 3.51434e-08 3.5798e-06 2.46989e-06 1.37119e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.74099e-20 1.46181e-16 1.2617e-17 3.00478e-17 3.16084e-13 4.35786e-16 2.65815e-19 2.47602e-13 1.49496e-17 0 0 0 0 0 0 0 0 0.57143 0 0 0 0 0 
0.00018 1001.03 0.257542 101325 0.285707 1.488e-06 1.63717e-07 0.142851 5.5527e-08 5.60572e-06 3.81373e-06 2.21873e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.46591e-19 3.54851e-16 3.05676e-17 7.25385e-17 4.93714e-13 1.05569e-15 9.88522e-19 3.8528e-13 3.61678e-17 0 0 0 0 0 0 0 0 0.571431 0 0 0 0 0 
0.00019 1001.05 0.257538 101325 0.285703 2.33659e-06 2.56926e-07 0.142848 8.8727e-08 8.82635e-06 5.87938e-06 3.65468e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.31726e-19 8.68192e-16 7.45563e-17 1.75856e-16 7.75311e-13 2.57428e-15 3.68008e-18 6.00713e-13 8.80208e-17 0 0 0 0 0 0 0 0 0.571432 0 0 0 0 0 
0.0002 1001.08 0.257531 101325 0.285696 3.69951e-06 4.06414e-07 0.142842 1.44199e-07 1.40204e-05 9.04277e-06 6.16869e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.62039e-18 2.15033e-15 1.83774e-16 4.29298e-16 1.22765e-12 6.34341e-15 1.3731e-17 9.39963e-13 2.16207e-16 0 0 0 0 0 0 0 0 0.571434 0 0 0 0 0 
